time,avg_voltage
1.119e-05,0.0001596216923076923
1.319e-05,9.85333376923077e-05
1.519e-05,6.294466153846153e-05
1.719e-05,4.273683307692307e-05
1.919e-05,3.082677807692308e-05
2.169e-05,2.2542297692307693e-05
2.519e-05,1.559980192307692e-05
2.969e-05,1.0214712423076923e-05
3.519e-05,6.521973423076923e-06
4.169e-05,4.118615269230769e-06
4.969e-05,2.5071325000000003e-06
5.969e-05,1.9287776923076924e-06
7.219e-05,4.555158115384615e-07
8.769e-05,5.305805730769231e-07
0.00010719,8.930607923076924e-07
0.00013169,4.3303068461538463e-07
0.00016169,2.7167923846153846e-07
0.00019869,3.158628730769231e-07
0.00024469,2.231875346153846e-07
0.00030169,1.5242699615384618e-07
0.00037269,1.0996834538461539e-07
0.00046119,7.36819123076923e-08
0.00057069,4.8259768688461546e-08
0.00070619,2.9098944315384615e-08
0.00087469,1.5059555e-08
0.00108419,6.193117061538461e-09
0.00134369,2.1416863515384616e-09
0.00166569,7.620268538461538e-10
0.00206569,2.2170892999999997e-10
0.00256219,-1.072532046153846e-10
0.00317819,-9.174576230769224e-11
0.00394269,5.417464461538467e-11
0.00489169,1.0311143307692308e-10
0.00606919,1.653589376923077e-10
0.00753019,4.564588030769231e-10
0.00934369,7.593367084615384e-10
0.0115947,3.386112807692308e-10
0.0143882,-2.4200050923076917e-10
0.0178552,-3.778110669230769e-10
0.0221577,1.8741260461538007e-10
