SWEEP_NUMBER,1.119e-05,1.319e-05,1.519e-05,1.719e-05,1.919e-05,2.169e-05,2.519e-05,2.969e-05,3.519e-05,4.169e-05,4.969e-05,5.969e-05,7.219e-05,8.769e-05,0.00010719,0.00013169,0.00016169,0.00019869,0.00024469,0.00030169,0.00037269,0.00046119,0.00057069,0.00070619,0.00087469,0.00108419,0.00134369,0.00166569,0.00206569,0.00256219,0.00317819,0.00394269,0.00489169,0.00606919,0.00753019,0.00934369,0.0115947,0.0143882,0.0178552,0.0221577
1,0.000159791,9.86497e-05,6.31272e-05,4.3083e-05,3.10037e-05,2.23254e-05,1.52439e-05,1.00668e-05,6.80691e-06,4.89731e-06,3.08885e-06,1.63798e-06,6.25523e-07,5.40822e-07,9.51373e-07,4.82996e-07,3.21867e-07,3.68175e-07,2.7755e-07,2.10322e-07,1.66139e-07,1.27989e-07,9.52909e-08,6.63701e-08,,,,,,,,,,,,,,,,
2,0.000159658,9.86188e-05,6.30233e-05,4.2955e-05,3.09548e-05,2.22707e-05,1.5137e-05,9.98613e-06,6.75815e-06,4.7998e-06,3.01913e-06,1.54733e-06,5.32165e-07,4.83567e-07,8.65277e-07,3.98124e-07,2.48895e-07,2.82587e-07,1.92491e-07,1.20546e-07,7.94332e-08,4.53611e-08,3.01489e-08,2.18506e-08,,,,,,,,,,,,,,,,
3,0.000159584,9.8587e-05,6.31041e-05,4.28949e-05,3.09968e-05,2.23381e-05,1.52051e-05,1.00162e-05,6.74849e-06,4.82796e-06,3.05884e-06,1.63196e-06,5.815e-07,5.43751e-07,9.1476e-07,4.54514e-07,2.95936e-07,3.38858e-07,2.424e-07,1.71954e-07,1.22839e-07,8.10457e-08,4.32857e-08,1.27756e-08,,,,,,,,,,,,,,,,
4,0.000159564,9.8496e-05,6.29589e-05,4.29842e-05,3.09264e-05,2.23349e-05,1.52435e-05,9.98041e-06,6.78488e-06,4.85612e-06,3.04915e-06,1.57995e-06,5.62399e-07,4.99053e-07,9.01891e-07,4.50228e-07,2.89155e-07,3.31563e-07,2.39651e-07,1.85418e-07,1.42693e-07,1.15804e-07,9.81973e-08,8.36274e-08,,,,,,,,,,,,,,,,
5,0.000159546,9.85793e-05,6.29083e-05,4.287e-05,3.08715e-05,2.22707e-05,1.51244e-05,1.00003e-05,6.75443e-06,4.84246e-06,3.01348e-06,1.54419e-06,5.35535e-07,4.61636e-07,8.6354e-07,4.00632e-07,2.30557e-07,2.7584e-07,1.80041e-07,1.0224e-07,5.81637e-08,1.73863e-08,-3.06795e-09,-2.43146e-08,,,,,,,,,,,,,,,,
6,0.000159582,9.8557e-05,6.2989e-05,4.29018e-05,3.08792e-05,2.2217e-05,1.51566e-05,9.94006e-06,6.72919e-06,4.78993e-06,3.0038e-06,1.57406e-06,5.07957e-07,4.74276e-07,8.62574e-07,4.03977e-07,2.25609e-07,2.73956e-07,1.8889e-07,1.03017e-07,5.8553e-08,3.36895e-08,2.36439e-09,-1.6123e-08,,,,,,,,,,,,,,,,
7,0.000159516,9.84557e-05,6.28988e-05,4.29533e-05,3.08792e-05,2.214e-05,1.51263e-05,9.92982e-06,6.70542e-06,4.80296e-06,3.01445e-06,1.51249e-06,5.04484e-07,4.34934e-07,8.34583e-07,3.71105e-07,2.21345e-07,2.67586e-07,1.7699e-07,1.03284e-07,7.25675e-08,3.7124e-08,1.32291e-08,-1.11578e-10,,,,,,,,,,,,,,,,
8,0.000159576,9.84634e-05,6.291e-05,4.29525e-05,3.09634e-05,2.23248e-05,1.52193e-05,1.00256e-05,6.79899e-06,4.8349e-06,3.06884e-06,1.60039e-06,5.79355e-07,5.21402e-07,9.18042e-07,4.49235e-07,2.79218e-07,3.20466e-07,2.2231e-07,1.50782e-07,9.31823e-08,4.40642e-08,1.26985e-08,-1.69412e-08,,,,,,,,,,,,,,,,
9,0.000159614,9.8569e-05,6.30122e-05,4.30134e-05,3.10235e-05,2.23052e-05,1.52031e-05,1.00343e-05,6.82399e-06,4.89542e-06,3.10822e-06,1.65384e-06,6.22255e-07,5.50113e-07,9.42622e-07,4.97315e-07,3.39139e-07,3.80196e-07,2.84284e-07,2.11055e-07,1.6529e-07,1.24112e-07,9.31802e-08,6.84343e-08,,,,,,,,,,,,,,,,
